"","M","Z1","Z2","Z3","Z4","X1","X2","X3","X4","X5","X6"
"1","gBOIN-ET",45,5,"Utility",1,68.66,26.9979572268312,0,0,0.29,659.637134451093
"2","gBOIN-ET",45,5,"Utility",2,51.25,22.4354268170593,4.2,1.40993125542281,0.47,659.194971184949
"3","gBOIN-ET",45,5,"Utility",3,63.07,33.1477591922464,10.03,3.55964943357711,4.63,652.183138022518
"4","gBOIN-ET",45,5,"Utility",4,76.46,45.2563115248108,12.5,5.69376548583674,1.42,656.909399057398
"5","gBOIN-ET",45,5,"Utility",5,63.84,38.3330682360426,8.57,3.68094564389341,1.31,657.189643064381
"6","gBOIN-ET",45,5,"Utility",6,79.93,52.6786014173916,10.67,4.75178853323481,0.86,654.899247891087
"7","gBOIN-ET",45,5,"Utility",7,85.03,93.9609695548736,10.27,6.03903044512637,4.7,638.023468347146
"8","gBOIN-ET",45,5,"Utility",8,71.44,56.3158333333333,8.52,9.68083333333333,0,660.018649012268
"9","gBOIN-ET",45,5,"Utility",9,76.74,58.5346296481908,17.33,6.0923457285089,1.11,658.62258244108
"10","gBOIN-ET",45,5,"Utility",10,15.4,5.45998566451634,0,0,0.1,659.876808641564
"11","gBOIN-ET",45,5,"Highest Efficacy",1,56.95,26.9979572268312,0,0,0.29,659.637134451093
"12","gBOIN-ET",45,5,"Highest Efficacy",2,40.67,22.4354268170593,1.21,1.40993125542281,0.47,659.194971184949
"13","gBOIN-ET",45,5,"Highest Efficacy",3,49.52,33.1477591922464,1.43,3.55964943357711,4.63,652.183138022518
"14","gBOIN-ET",45,5,"Highest Efficacy",4,64.04,45.2563115248108,5.63,5.69376548583674,1.42,656.909399057398
"15","gBOIN-ET",45,5,"Highest Efficacy",5,54.77,38.3330682360426,2.17,3.68094564389341,1.31,657.189643064381
"16","gBOIN-ET",45,5,"Highest Efficacy",6,62.02,52.6786014173916,2.76,4.75178853323481,0.86,654.899247891087
"17","gBOIN-ET",45,5,"Highest Efficacy",7,92.87,93.9609695548736,2.43,6.03903044512637,4.7,638.023468347146
"18","gBOIN-ET",45,5,"Highest Efficacy",8,70.83,56.3158333333333,11.62,9.68083333333333,0,660.018649012268
"19","gBOIN-ET",45,5,"Highest Efficacy",9,92.44,58.5346296481908,1.31,6.0923457285089,1.11,658.62258244108
"20","gBOIN-ET",45,5,"Highest Efficacy",10,11.61,5.45998566451634,0,0,0.1,659.876808641564
"21","gBOIN-ET",45,10,"Utility",1,69.04,26.9840343490767,0,0,0.3,779.542539792876
"22","gBOIN-ET",45,10,"Utility",2,52.37,22.4915572232645,4.14,1.4300604544507,0.32,779.574378009848
"23","gBOIN-ET",45,10,"Utility",3,63.06,33.3201194311837,10.11,3.53232907676996,4.5,770.258485927841
"24","gBOIN-ET",45,10,"Utility",4,76.64,45.2688909711532,12.4,5.64721236865002,1.16,776.782745422932
"25","gBOIN-ET",45,10,"Utility",5,63.47,38.3178352318856,8.82,3.71201151686099,1.31,776.887594678914
"26","gBOIN-ET",45,10,"Utility",6,79.13,52.0172971157479,11.2,4.78189680507158,0.85,774.125046480559
"27","gBOIN-ET",45,10,"Utility",7,85.99,93.9435036007656,9.96,6.05649639923436,4.05,757.20927655954
"28","gBOIN-ET",45,10,"Utility",8,71.99,56.8277092066773,8.86,9.71089016493179,0.01,780.138759755298
"29","gBOIN-ET",45,10,"Utility",9,76.99,58.6034079518877,16.99,6.04243234213164,1.15,777.864692058901
"30","gBOIN-ET",45,10,"Utility",10,15.92,5.45072676356848,0,0,0.07,779.882241889734
"31","gBOIN-ET",45,10,"Highest Efficacy",1,56.73,26.9840343490767,0,0,0.3,779.542539792876
"32","gBOIN-ET",45,10,"Highest Efficacy",2,40.52,22.4915572232645,1.26,1.4300604544507,0.32,779.574378009848
"33","gBOIN-ET",45,10,"Highest Efficacy",3,48.57,33.3201194311837,1.58,3.53232907676996,4.5,770.258485927841
"34","gBOIN-ET",45,10,"Highest Efficacy",4,64.57,45.2688909711532,5.62,5.64721236865002,1.16,776.782745422932
"35","gBOIN-ET",45,10,"Highest Efficacy",5,54.55,38.3178352318856,2.27,3.71201151686099,1.31,776.887594678914
"36","gBOIN-ET",45,10,"Highest Efficacy",6,60.89,52.0172971157479,2.44,4.78189680507158,0.85,774.125046480559
"37","gBOIN-ET",45,10,"Highest Efficacy",7,93.5,93.9435036007656,2.45,6.05649639923436,4.05,757.20927655954
"38","gBOIN-ET",45,10,"Highest Efficacy",8,71.24,56.8277092066773,12.08,9.71089016493179,0.01,780.138759755298
"39","gBOIN-ET",45,10,"Highest Efficacy",9,92.23,58.6034079518877,1.04,6.04243234213164,1.15,777.864692058901
"40","gBOIN-ET",45,10,"Highest Efficacy",10,11.38,5.45072676356848,0,0,0.07,779.882241889734
"41","gBOIN-ET",60,5,"Utility",1,68.38,26.7358013988113,0,0,0.25,839.488310060009
"42","gBOIN-ET",60,5,"Utility",2,50.68,22.5830122913227,4.6,1.5143176397992,0.38,839.220217087057
"43","gBOIN-ET",60,5,"Utility",3,62.58,33.0038426534533,9.74,3.48114066134088,4.24,830.67568031688
"44","gBOIN-ET",60,5,"Utility",4,77.31,45.4056180527655,11.63,5.26650595955538,1.27,836.511216438923
"45","gBOIN-ET",60,5,"Utility",5,63.56,38.1344295785261,9.01,3.71154908822988,1.27,836.261132250815
"46","gBOIN-ET",60,5,"Utility",6,78.77,52.0003355563944,11.33,4.9653957468227,0.76,834.365630084509
"47","gBOIN-ET",60,5,"Utility",7,85.61,93.6799079464853,10.05,6.32009205351469,4.34,815.258175824904
"48","gBOIN-ET",60,5,"Utility",8,72.47,57.2610822658744,8.69,9.54170798989908,0.01,839.742396527968
"49","gBOIN-ET",60,5,"Utility",9,76.4,58.2032065903034,17.58,6.11073514299321,1.18,837.594623175568
"50","gBOIN-ET",60,5,"Utility",10,15.78,5.58565165936026,0,0,0.05,839.817305848339
"51","gBOIN-ET",60,5,"Highest Efficacy",1,55.78,26.7358013988113,0,0,0.25,839.488310060009
"52","gBOIN-ET",60,5,"Highest Efficacy",2,40.69,22.5830122913227,1.38,1.5143176397992,0.38,839.220217087057
"53","gBOIN-ET",60,5,"Highest Efficacy",3,48.92,33.0038426534533,1.44,3.48114066134088,4.24,830.67568031688
"54","gBOIN-ET",60,5,"Highest Efficacy",4,65.11,45.4056180527655,5.21,5.26650595955538,1.27,836.511216438923
"55","gBOIN-ET",60,5,"Highest Efficacy",5,54.65,38.1344295785261,2.29,3.71154908822988,1.27,836.261132250815
"56","gBOIN-ET",60,5,"Highest Efficacy",6,60.34,52.0003355563944,2.85,4.9653957468227,0.76,834.365630084509
"57","gBOIN-ET",60,5,"Highest Efficacy",7,92.94,93.6799079464853,2.72,6.32009205351469,4.34,815.258175824904
"58","gBOIN-ET",60,5,"Highest Efficacy",8,71.74,57.2610822658744,11.55,9.54170798989908,0.01,839.742396527968
"59","gBOIN-ET",60,5,"Highest Efficacy",9,91.66,58.2032065903034,1.35,6.11073514299321,1.18,837.594623175568
"60","gBOIN-ET",60,5,"Highest Efficacy",10,12.03,5.58565165936026,0,0,0.05,839.817305848339
"61","gBOIN-ET",60,10,"Utility",1,68.01,26.769710460279,0,0,0.23,959.538550759693
"62","gBOIN-ET",60,10,"Utility",2,52.24,22.8545935172908,4.08,1.43179979819712,0.31,959.82295300017
"63","gBOIN-ET",60,10,"Utility",3,63.17,33.8340793943839,9.96,3.62071436399349,4.45,949.20907604434
"64","gBOIN-ET",60,10,"Utility",4,77.05,45.2326972467854,11.81,5.50475600880092,1.26,956.240545159552
"65","gBOIN-ET",60,10,"Utility",5,64.19,37.8763535338321,8.73,3.79575237234523,1.32,955.914875135542
"66","gBOIN-ET",60,10,"Utility",6,79.04,51.8851318502624,11.27,4.86831737942365,0.67,954.264738547032
"67","gBOIN-ET",60,10,"Utility",7,85.38,94.0595508713922,9.93,5.94044912860784,4.69,929.297717771407
"68","gBOIN-ET",60,10,"Utility",8,71.28,56.4683333333333,8.73,9.4975,0,960.36569219285
"69","gBOIN-ET",60,10,"Utility",9,76.32,58.6484184508501,17.8,6.06817194963092,1.08,958.328173752628
"70","gBOIN-ET",60,10,"Utility",10,15.58,5.33276663833192,0,0,0.04,959.853153201263
"71","gBOIN-ET",60,10,"Highest Efficacy",1,56.71,26.769710460279,0,0,0.23,959.538550759693
"72","gBOIN-ET",60,10,"Highest Efficacy",2,41.79,22.8545935172908,1.33,1.43179979819712,0.31,959.82295300017
"73","gBOIN-ET",60,10,"Highest Efficacy",3,50.69,33.8340793943839,1.66,3.62071436399349,4.45,949.20907604434
"74","gBOIN-ET",60,10,"Highest Efficacy",4,64.39,45.2326972467854,5.17,5.50475600880092,1.26,956.240545159552
"75","gBOIN-ET",60,10,"Highest Efficacy",5,53.93,37.8763535338321,2.32,3.79575237234523,1.32,955.914875135542
"76","gBOIN-ET",60,10,"Highest Efficacy",6,61.2,51.8851318502624,2.55,4.86831737942365,0.67,954.264738547032
"77","gBOIN-ET",60,10,"Highest Efficacy",7,92.9,94.0595508713922,2.41,5.94044912860784,4.69,929.297717771407
"78","gBOIN-ET",60,10,"Highest Efficacy",8,70.73,56.4683333333333,11.6,9.4975,0,960.36569219285
"79","gBOIN-ET",60,10,"Highest Efficacy",9,92.37,58.6484184508501,1.13,6.06817194963092,1.08,958.328173752628
"80","gBOIN-ET",60,10,"Highest Efficacy",10,11.23,5.33276663833192,0,0,0.04,959.853153201263
"81","gBOIN-ET",90,5,"Utility",1,68.07,26.7719292395418,0,0,0.31,1199.45141061072
"82","gBOIN-ET",90,5,"Utility",2,52.36,22.8255610244431,4.02,1.38233085842997,0.39,1198.61569956894
"83","gBOIN-ET",90,5,"Utility",3,62.87,33.6786558595069,9.47,3.65501519756839,4.79,1184.53506792817
"84","gBOIN-ET",90,5,"Utility",4,76.4,45.1808539115305,12.02,5.46158736532155,1.13,1195.41313116284
"85","gBOIN-ET",90,5,"Utility",5,63.51,37.9161157508912,8.67,3.65278079967866,1.25,1194.79007720294
"86","gBOIN-ET",90,5,"Utility",6,79.14,51.5968272846817,11.14,5.00699370984899,0.59,1193.92809298134
"87","gBOIN-ET",90,5,"Utility",7,84.96,93.7533373525105,10.5,6.24666264748945,4.54,1161.08271816785
"88","gBOIN-ET",90,5,"Utility",8,71.54,56.615,8.06,9.30333333333333,0,1200.105757236
"89","gBOIN-ET",90,5,"Utility",9,76.76,58.6000033420784,17.54,6.00237287569139,1.27,1196.556268208
"90","gBOIN-ET",90,5,"Utility",10,16.08,5.57296441370114,0,0,0.06,1199.77192941827
"91","gBOIN-ET",90,5,"Highest Efficacy",1,55.74,26.7719292395418,0,0,0.31,1199.45141061072
"92","gBOIN-ET",90,5,"Highest Efficacy",2,41.48,22.8255610244431,1.19,1.38233085842997,0.39,1198.61569956894
"93","gBOIN-ET",90,5,"Highest Efficacy",3,49.98,33.6786558595069,1.63,3.65501519756839,4.79,1184.53506792817
"94","gBOIN-ET",90,5,"Highest Efficacy",4,64.15,45.1808539115305,5.08,5.46158736532155,1.13,1195.41313116284
"95","gBOIN-ET",90,5,"Highest Efficacy",5,54.47,37.9161157508912,2.29,3.65278079967866,1.25,1194.79007720294
"96","gBOIN-ET",90,5,"Highest Efficacy",6,61.06,51.5968272846817,2.61,5.00699370984899,0.59,1193.92809298134
"97","gBOIN-ET",90,5,"Highest Efficacy",7,93.07,93.7533373525105,2.39,6.24666264748945,4.54,1161.08271816785
"98","gBOIN-ET",90,5,"Highest Efficacy",8,70.87,56.615,11.38,9.30333333333333,0,1200.105757236
"99","gBOIN-ET",90,5,"Highest Efficacy",9,92.19,58.6000033420784,1.05,6.00237287569139,1.27,1196.556268208
"100","gBOIN-ET",90,5,"Highest Efficacy",10,11.94,5.57296441370114,0,0,0.06,1199.77192941827
"101","gBOIN-ET",90,10,"Utility",1,67.08,26.4444481499391,0,0,0.3,1319.79094474189
"102","gBOIN-ET",90,10,"Utility",2,52.16,22.7749608032825,4.06,1.40441004770324,0.27,1318.99252379155
"103","gBOIN-ET",90,10,"Utility",3,62.95,33.3799942657649,9.79,3.57209114060682,4.41,1303.85259676782
"104","gBOIN-ET",90,10,"Utility",4,76.73,45.2446095534526,12.08,5.32141871030899,1.18,1314.40938564637
"105","gBOIN-ET",90,10,"Utility",5,63.82,37.9593680969275,8.77,3.64482227726086,1.19,1314.77288814481
"106","gBOIN-ET",90,10,"Utility",6,80.17,52.0407992222334,10.86,4.82835495658587,0.64,1312.74173804388
"107","gBOIN-ET",90,10,"Utility",7,85.82,93.9018518836941,9.74,6.09814811630586,4.44,1279.21572608237
"108","gBOIN-ET",90,10,"Utility",8,71.68,56.8425,9,9.8425,0,1319.69997960754
"109","gBOIN-ET",90,10,"Utility",9,77.51,58.8970987267794,16.8,6.04717178042162,1.07,1317.8382325381
"110","gBOIN-ET",90,10,"Utility",10,15.63,5.41027051352568,0,0,0.05,1320.12297897253
"111","gBOIN-ET",90,10,"Highest Efficacy",1,56.07,26.4444481499391,0,0,0.3,1319.79094474189
"112","gBOIN-ET",90,10,"Highest Efficacy",2,41.65,22.7749608032825,1.09,1.40441004770324,0.27,1318.99252379155
"113","gBOIN-ET",90,10,"Highest Efficacy",3,49.39,33.3799942657649,1.44,3.57209114060682,4.41,1303.85259676782
"114","gBOIN-ET",90,10,"Highest Efficacy",4,63.64,45.2446095534526,5.36,5.32141871030899,1.18,1314.40938564637
"115","gBOIN-ET",90,10,"Highest Efficacy",5,54.04,37.9593680969275,2.13,3.64482227726086,1.19,1314.77288814481
"116","gBOIN-ET",90,10,"Highest Efficacy",6,61.57,52.0407992222334,2.29,4.82835495658587,0.64,1312.74173804388
"117","gBOIN-ET",90,10,"Highest Efficacy",7,93.23,93.9018518836941,2.33,6.09814811630586,4.44,1279.21572608237
"118","gBOIN-ET",90,10,"Highest Efficacy",8,70.96,56.8425,12.2,9.8425,0,1319.69997960754
"119","gBOIN-ET",90,10,"Highest Efficacy",9,92.71,58.8970987267794,1.03,6.04717178042162,1.07,1317.8382325381
"120","gBOIN-ET",90,10,"Highest Efficacy",10,11.43,5.41027051352568,0,0,0.05,1320.12297897253
